v1,price,area,subarea,name,condition,cylinders,drive,fuel,odometer,paintcolor,size,transmission,type,dealer
1,"$4,990 ",chicago,chicago city,2007 Toyota Camry Hybrid,good,4 cylinders,fwd,gas,116236,grey,NA,automatic,sedan,1
2,"$10,625 ",chicago,chicago city,2009 Toyota Camry Hybrid,NA,4 cylinders,fwd,hybrid,43702,grey,NA,automatic,sedan,1
3,NA,chicago,chicago city,2010 Toyota Camry,excellent,NA,fwd,gas,140437,white,mid-size,NA,sedan,1
4,"$14,850 ",chicago,chicago city,2015 Toyota_ Camry_,excellent,other,NA,gas,35721,NA,NA,automatic,sedan,1
5,"$15,630 ",chicago,chicago city,2016 TOYOTA CAMRY,NA,NA,fwd,gas,13152,NA,NA,automatic,sedan,1
6,$850 ,chicago,chicago city,1993 toyota camry,good,6 cylinders,fwd,gas,187000,red,full-size,automatic,sedan,0
7,"$1,300 ",chicago,chicago city,1998 toyota camry,fair,4 cylinders,fwd,gas,NA,grey,NA,automatic,NA,0
8,"$1,600 ",chicago,chicago city,1998 toyota camry le,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
9,"$1,500 ",chicago,chicago city,1998 Toyota Camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
10,"$1,650 ",chicago,chicago city,1999 toyota camry,good,4 cylinders,fwd,gas,202000,NA,NA,automatic,sedan,0
11,"$2,295 ",chicago,chicago city,2000 toyota camry le,excellent,4 cylinders,fwd,gas,107000,white,mid-size,automatic,sedan,0
12,"$1,650 ",chicago,chicago city,2002 toyota camry solara,NA,6 cylinders,fwd,gas,160000,black,NA,automatic,NA,0
13,"$3,500 ",chicago,chicago city,2002 toyota camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
14,"$1,100 ",chicago,chicago city,2003 Toyota CAMRY XLE,NA,NA,NA,gas,NA,white,NA,automatic,NA,0
15,"$3,800 ",chicago,chicago city,2003 toyota camry,NA,4 cylinders,NA,gas,119000,NA,NA,automatic,NA,0
16,"$2,950 ",chicago,chicago city,2004 Toyota Camry XLE,excellent,4 cylinders,fwd,gas,167000,NA,NA,automatic,NA,0
17,"$4,200 ",chicago,chicago city,2005 toyota camry LE,excellent,6 cylinders,4wd,gas,120451,grey,full-size,automatic,sedan,0
18,"$5,799 ",chicago,chicago city,2007 Toyota Camry Hybrid,good,4 cylinders,fwd,hybrid,159000,silver,NA,automatic,sedan,0
19,"$4,500 ",chicago,chicago city,2007 toyota camry,good,4 cylinders,fwd,gas,NA,silver,full-size,automatic,sedan,0
20,"$4,000 ",chicago,chicago city,2007 Toyota camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
21,"$6,000 ",chicago,chicago city,2007 Toyota Camry SE,excellent,4 cylinders,fwd,gas,102000,grey,mid-size,automatic,NA,0
22,"$5,999 ",chicago,chicago city,2007 toyota camry xle,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
23,"$7,700 ",chicago,chicago city,2008 toyota camry,NA,4 cylinders,fwd,gas,65800,NA,NA,automatic,NA,0
24,"$7,200 ",chicago,chicago city,2009 toyota camry se 4dr sedan,excellent,4 cylinders,fwd,gas,113300,grey,mid-size,automatic,sedan,0
25,"$6,400 ",chicago,chicago city,2009 toyota camry xle,excellent,NA,NA,gas,NA,NA,NA,automatic,NA,0
26,"$2,900 ",chicago,chicago city,2010 toyota camry hybrid,NA,NA,NA,hybrid,300000,NA,NA,automatic,NA,0
27,"$2,000 ",chicago,chicago city,2010 toyota camry le,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
28,"$7,000 ",chicago,chicago city,2013 toyota camry,excellent,4 cylinders,NA,gas,213000,white,compact,automatic,sedan,0
29,"$14,900 ",chicago,chicago city,2014 Toyota Camry XLE,like new,4 cylinders,fwd,gas,41539,silver,mid-size,automatic,sedan,0
32,"$2,000 ",chicago,chicago city,2009 Toyota Camry,like new,6 cylinders,fwd,gas,NA,NA,NA,automatic,sedan,0
33,"$3,030 ",chicago,chicago city,2010 toyota camry xle,excellent,6 cylinders,fwd,gas,NA,black,full-size,automatic,sedan,0
34,NA,chicago,chicago city,1998 toyota camry,fair,6 cylinders,fwd,gas,NA,black,NA,automatic,NA,0
35,"$3,100 ",chicago,chicago city,2004 Toyota Camry,excellent,4 cylinders,NA,gas,130756,grey,NA,automatic,sedan,0
36,"$15,490 ",chicago,chicago city,2016 Toyota Camry  LE    2016,new,4 cylinders,fwd,gas,48192,white,NA,automatic,NA,0
37,"$3,600 ",chicago,chicago city,2002 toyota camry le,like new,6 cylinders,NA,gas,121000,grey,NA,automatic,sedan,0
38,"$3,600 ",chicago,chicago city,2002 toyota camry le,like new,6 cylinders,NA,gas,121000,grey,NA,automatic,sedan,0
39,"$3,600 ",chicago,chicago city,2002 toyota camry le,like new,6 cylinders,NA,gas,121000,grey,NA,automatic,sedan,0
40,"$8,895 ",chicago,chicago city,2012 toyota camry,like new,4 cylinders,fwd,gas,110,blue,full-size,automatic,sedan,0
41,"$8,950 ",chicago,chicago city,2012 TOYOTA CAMRY XLE,like new,4 cylinders,fwd,gas,110,blue,full-size,automatic,sedan,0
42,"$2,100 ",chicago,NA,2003 Toyota Camry,NA,4 cylinders,fwd,gas,0,green,NA,automatic,sedan,1
43,"$3,750 ",chicago,chicago N,2002 toyota camry le 4cyl,good,4 cylinders,fwd,gas,173906,blue,mid-size,automatic,sedan,0
44,"$4,400 ",chicago,chicago N,2005 toyota camry,good,4 cylinders,fwd,gas,123000,NA,NA,automatic,sedan,0
45,"$6,300 ",chicago,chicago N,2011 toyota camry se 4dr sedan,excellent,4 cylinders,fwd,gas,156000,black,full-size,automatic,sedan,0
46,"$8,499 ",chicago,chicago N,2011 toyota camry hybrid,excellent,4 cylinders,fwd,hybrid,105,green,full-size,automatic,sedan,0
47,"$1,700 ",chicago,chicago N,1998 Toyota Camry LE,good,NA,NA,gas,175626,brown,mid-size,automatic,sedan,0
49,"$8,955 ",chicago,chicago suburbs,2009 Toyota Camry Hybrid,NA,4 cylinders,fwd,hybrid,81388,white,mid-size,automatic,sedan,1
